Read Miss , Address: 00000000, 
Read Hit  , Address: 00000004, 
Read Hit  , Address: 00000008, 
Read Hit  , Address: 0000000c, 
Read Hit  , Address: 00000010, 
Read Hit  , Address: 00000014, 
Read Hit  , Address: 00000018, 
Read Hit  , Address: 0000001c, 
Read Miss , Address: 00000400, 
Read Hit  , Address: 00000404, 
Read Hit  , Address: 00000408, 
Read Hit  , Address: 0000040c, 
Read Hit  , Address: 00000410, 
Read Hit  , Address: 00000414, 
Read Hit  , Address: 00000418, 
Read Hit  , Address: 0000041c, 
Read Hit  , Address: 00000000, 
Read Hit  , Address: 00000004, 
Read Hit  , Address: 00000008, 
Read Hit  , Address: 0000000c, 
Read Hit  , Address: 00000010, 
Read Hit  , Address: 00000014, 
Read Hit  , Address: 00000018, 
Read Hit  , Address: 0000001c, 
